"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2015 06:00:00 - 11/01/2015 07:00:00","BZN|CH","Without Sequence","21.09","",""
"11/01/2015 07:00:00 - 11/01/2015 08:00:00","BZN|CH","Without Sequence","15.50","",""
"11/01/2015 08:00:00 - 11/01/2015 09:00:00","BZN|CH","Without Sequence","18.39","",""
"11/01/2015 09:00:00 - 11/01/2015 10:00:00","BZN|CH","Without Sequence","28.65","",""
"11/01/2015 10:00:00 - 11/01/2015 11:00:00","BZN|CH","Without Sequence","33.88","",""
"11/01/2015 11:00:00 - 11/01/2015 12:00:00","BZN|CH","Without Sequence","33.93","",""
"11/01/2015 12:00:00 - 11/01/2015 13:00:00","BZN|CH","Without Sequence","36.59","",""
"11/01/2015 13:00:00 - 11/01/2015 14:00:00","BZN|CH","Without Sequence","20.63","",""
"11/01/2015 14:00:00 - 11/01/2015 15:00:00","BZN|CH","Without Sequence","29.58","",""
"11/01/2015 15:00:00 - 11/01/2015 16:00:00","BZN|CH","Without Sequence","34.93","",""
"11/01/2015 16:00:00 - 11/01/2015 17:00:00","BZN|CH","Without Sequence","43.00","",""
"11/01/2015 17:00:00 - 11/01/2015 18:00:00","BZN|CH","Without Sequence","45.02","",""
"11/01/2015 18:00:00 - 11/01/2015 19:00:00","BZN|CH","Without Sequence","45.10","",""
"11/01/2015 19:00:00 - 11/01/2015 20:00:00","BZN|CH","Without Sequence","44.33","",""
"11/01/2015 20:00:00 - 11/01/2015 21:00:00","BZN|CH","Without Sequence","42.93","",""
"11/01/2015 21:00:00 - 11/01/2015 22:00:00","BZN|CH","Without Sequence","43.04","",""
"11/01/2015 22:00:00 - 11/01/2015 23:00:00","BZN|CH","Without Sequence","41.98","",""
"11/01/2015 23:00:00 - 12/01/2015 00:00:00","BZN|CH","Without Sequence","38.70","",""
"12/01/2015 00:00:00 - 12/01/2015 01:00:00","BZN|CH","Without Sequence","28.08","",""
"12/01/2015 01:00:00 - 12/01/2015 02:00:00","BZN|CH","Without Sequence","25.06","",""
"12/01/2015 02:00:00 - 12/01/2015 03:00:00","BZN|CH","Without Sequence","19.66","",""
"12/01/2015 03:00:00 - 12/01/2015 04:00:00","BZN|CH","Without Sequence","14.67","",""
"12/01/2015 04:00:00 - 12/01/2015 05:00:00","BZN|CH","Without Sequence","23.45","",""
"12/01/2015 05:00:00 - 12/01/2015 06:00:00","BZN|CH","Without Sequence","36.37","",""
"12/01/2015 06:00:00 - 12/01/2015 07:00:00","BZN|CH","Without Sequence","45.86","",""
"12/01/2015 07:00:00 - 12/01/2015 08:00:00","BZN|CH","Without Sequence","47.95","",""
"12/01/2015 08:00:00 - 12/01/2015 09:00:00","BZN|CH","Without Sequence","47.72","",""
"12/01/2015 09:00:00 - 12/01/2015 10:00:00","BZN|CH","Without Sequence","47.17","",""
